name,appid,categories,genres,metacritic
The Power Factory,707860,"['Single-player', 'Steam Cloud']","['Indie', 'Simulation', 'Strategy', 'Early Access']",'metacritic'
Hoo-Boy,707870,"['Single-player', 'Steam Achievements', 'Full controller support']","['Adventure', 'Casual', 'Indie']",'metacritic'
Analemma,707920,"['Single-player', 'Steam Achievements']","['Adventure', 'Casual', 'Indie']",'metacritic'
Tank Warz!,707950,"['Single-player', 'Partial Controller Support']","['Action', 'Casual', 'Indie']",'metacritic'
I was here,707960,"['Single-player', 'Steam Achievements']","['Adventure', 'Casual', 'Indie']",'metacritic'
Jamie's Dream,708020,['Single-player'],"['Adventure', 'Indie']",'metacritic'
Ultraball (beta),708030,"['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Co-op', 'Online Co-op', 'Cross-Platform Multiplayer', 'Steam Achievements', 'In-App Purchases', 'Partial Controller Support', 'Remote Play Together']","['Action', 'Free to Play', 'Indie', 'Sports']",'metacritic'
Recharge Complete,708070,"['Single-player', 'Steam Achievements']","['Action', 'Adventure', 'Indie', 'Early Access']",'metacritic'
A Boy and His Beard,708100,"['Single-player', 'Full controller support']","['Action', 'Casual', 'Free to Play', 'Indie']",'metacritic'
Smash Bash Crash,708110,"['Single-player', 'Multi-player', 'PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Full controller support', 'Remote Play Together']","['Action', 'Racing', 'Sports']",'metacritic'
Printer Forge 3D,708120,['Includes level editor'],"['Animation & Modeling', 'Design & Illustration', 'Utilities', 'Early Access']",'metacritic'
TriElement,708140,"['Single-player', 'Steam Achievements']","['Action', 'Casual', 'Indie']",'metacritic'
Lost Artifacts,708150,"['Single-player', 'Steam Achievements']","['Casual', 'Strategy']",'metacritic'
Yokai Mask,708160,"['Single-player', 'Partial Controller Support']","['Adventure', 'Indie']",'metacritic'
Hatsune Miku VR / 初音ミク VR,707300,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Leaderboards']",['Action'],'metacritic'
The Little Prince VR,707310,['Single-player'],"['Adventure', 'Casual']",'metacritic'
Keatz: The Lonely Bird,707320,"['Single-player', 'Steam Achievements', 'Partial Controller Support']","['Action', 'Indie']",'metacritic'
Awakening,707340,'categories',"['Animation & Modeling', 'Design & Illustration', 'Utilities']",'metacritic'
Damascus Gear Operation Osaka HD Edition,707350,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Cloud']",['Action'],'metacritic'
Attack Of Insects,707400,['Single-player'],"['Action', 'Adventure', 'Indie', 'Early Access']",'metacritic'
March to Glory,707450,"['Single-player', 'Multi-player', 'PvP', 'Online PvP']",['Strategy'],'metacritic'
JumpFist,707470,"['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Steam Achievements', 'Full controller support', 'Remote Play Together']","['Action', 'Casual', 'Indie']",'metacritic'
Trivia Vault: Super Heroes Trivia 2,705090,"['Single-player', 'Steam Achievements']","['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']",'metacritic'
Marshmallow Melee,705100,['Single-player'],"['Action', 'Adventure', 'Indie', 'RPG', 'Strategy', 'Early Access']",'metacritic'
Bartender VR Simulator,704300,"['Single-player', 'Stats']",['Simulation'],'metacritic'
Lumberjack VR,704310,"['Single-player', 'Steam Achievements', 'Steam Leaderboards']","['Action', 'Indie']",'metacritic'
Captain 13 Beyond the Hero,704350,"['Single-player', 'Steam Achievements']","['Action', 'Casual']",'metacritic'
SACRALITH : The Archer`s Tale,704360,"['Single-player', 'Steam Achievements', 'Steam Cloud']","['Action', 'Adventure', 'Simulation']",'metacritic'
Water Pipeline,704370,['Single-player'],"['Adventure', 'Casual', 'Indie', 'Strategy']",'metacritic'
